fid,keychild,sector,spectype
1,1,01_HEALTHCARE,0101_HEALTH CENTER/STATION
2,2,01_HEALTHCARE,0102_RURAL HEALTH UNIT (RHU)/URBAN HEALTH CENTER
3,3,01_HEALTHCARE,0103_LEVEL 1 HOSPITAL
4,4,01_HEALTHCARE,0104_LEVEL 2 HOSPITAL
5,5,01_HEALTHCARE,0105_LEVEL 3 HOSPITAL
6,6,01_HEALTHCARE,0106_MATERNITY/LYING-IN CLINIC
7,7,01_HEALTHCARE,0107_PEDIATRIC/CHILD CLINIC
8,8,01_HEALTHCARE,0108_PRIVATE MEDICAL/GENERAL CLINIC
9,9,01_HEALTHCARE,0109_DIAGNOSTIC/DIALYSIS CENTER
10,10,01_HEALTHCARE,0110_BLOOD SERVICE FACILITY/CENTER
11,11,01_HEALTHCARE,0111_BOTIKA NG BARANGAY (BnB)/BAYAN (BNB)
13,13,01_HEALTHCARE,0112_DRUG TREATMENT CENTER
14,14,01_HEALTHCARE,0113_REHABILITATION/HABILITATION CENTER/MENTAL HEALTH CENTER
15,15,01_HEALTHCARE,"0199_OTHERS, PLEASE SPECIFY"
16,1,02_EDUCATION AND LITERACY,0201_DAY CARE CENTER
17,2,02_EDUCATION AND LITERACY,0202_PRESCHOOL/ KINDERGARTEN
18,3,02_EDUCATION AND LITERACY,0203_ELEMENTARY SCHOOL
19,4,02_EDUCATION AND LITERACY,0204_JUNIOR HIGH SCHOOL (JHS)
20,5,02_EDUCATION AND LITERACY,0205_SENIOR HIGH SCHOOL (SHS)
21,6,02_EDUCATION AND LITERACY,0206_COLLEGE/UNIVERSITY
22,7,02_EDUCATION AND LITERACY,0207_TVET INSTITUTION/TRAINING INSTITUTE
23,8,02_EDUCATION AND LITERACY,0208_ALTERNATIVE LEARNING SYSTEM (ALS)/COMMUNITY LEARNING CENTER
24,9,02_EDUCATION AND LITERACY,0209_SPED CENTER
25,10,02_EDUCATION AND LITERACY,0210_LIBRARY/READING CENTER
26,11,02_EDUCATION AND LITERACY,"0299_OTHERS, PLEASE SPECIFY"
27,1,03_PUBLIC BUILDING AND OPEN SPACE,0301_BARANGAY HALL
28,2,03_PUBLIC BUILDING AND OPEN SPACE,0302_TOWN/CITY HALL/PROVINCIAL CAPITOL
29,3,03_PUBLIC BUILDING AND OPEN SPACE,0303_OTHER GOVERNMENT OFFICES
30,4,03_PUBLIC BUILDING AND OPEN SPACE,0304_MULTI-PURPOSE HALL (SEPARATE FROM BGY HALL)
31,5,03_PUBLIC BUILDING AND OPEN SPACE,"0305_PUBLIC PLAZA/GARDEN/PARK/SPORTS FACILITY (GYMNASIUM, COURT, ETC.)"
32,6,03_PUBLIC BUILDING AND OPEN SPACE,0306_POST OFFICE/POSTAL SERVICE
33,7,03_PUBLIC BUILDING AND OPEN SPACE,0307_CEMETERY/MEMORIAL PARK
34,7,03_PUBLIC BUILDING AND OPEN SPACE,0308_OFFICE OF SENIOR CITIZENS AFFAIRS
35,7,03_PUBLIC BUILDING AND OPEN SPACE,0309_PERSONS WITH DISABILITIES AFFAIRS OFFICE (PDAO)
37,11,03_PUBLIC BUILDING AND OPEN SPACE,"0399_OTHERS, PLEASE SPECIFY"
38,1,04_PUBLIC SAFETY,0401_POLICE STATION/SUBSTATION
39,2,04_PUBLIC SAFETY,0402_JAIL/PENAL INSTITUTION
40,3,04_PUBLIC SAFETY,0403_FIRE STATION/SUBSTATION
43,6,04_PUBLIC SAFETY,"0404_DESIGNATED EVACUATION CENTER (STANDALONE; DRRM, EMERGENCY SITES)"
